tweet_id,tweet_created_at,language,user_screen_name,user_created_at,user_id,followers_count,friends_count,time_zone,utc_offset,retweeted_status,retweet_id,retweet_user_screen_name,retweet_user_id
1018178822087192581,Sat Jul 14 17:02:02 +0000 2018,es,Huntersephiroth,Mon Jan 02 22:18:36 +0000 2012,453415076,48,229,None,None,1,1018173447581720576,LuisGyG,824881
1018179236220297216,Sat Jul 14 17:03:41 +0000 2018,en,WikakomSteam,Thu May 05 17:26:18 +0000 2016,728274635712770049,5589,3475,None,None,0,None,None,None
1018179317392650241,Sat Jul 14 17:04:00 +0000 2018,en,Book4Creative,Sat Jul 15 18:30:51 +0000 2017,886291986596192258,24,29,None,None,1,987399508509282305,Book4Creative,886291986596192258
1018179688093478912,Sat Jul 14 17:05:29 +0000 2018,en,Voldrega,Tue May 24 02:43:55 +0000 2011,304189053,314,405,None,None,0,None,None,None
1018180125697830912,Sat Jul 14 17:07:13 +0000 2018,en,Voldrega,Tue May 24 02:43:55 +0000 2011,304189053,314,405,None,None,0,None,None,None
1018180474399703040,Sat Jul 14 17:08:36 +0000 2018,en,StacyEWalker1,Fri Feb 20 04:10:53 +0000 2015,3032087936,153,277,None,None,0,None,None,None
1018181008976437248,Sat Jul 14 17:10:44 +0000 2018,en,moscone,Thu Feb 05 19:41:11 +0000 2009,20178891,213,447,None,None,0,None,None,None
1018182590124224513,Sat Jul 14 17:17:01 +0000 2018,en,olga_hielga,Thu Apr 27 06:53:20 +0000 2017,857487811674505216,817,562,None,None,1,1017654369695739904,thejoyofcolor,67997338
1018183145961619457,Sat Jul 14 17:19:13 +0000 2018,en,MajinVik,Wed Jul 11 04:00:05 +0000 2018,1016894873457135617,11,29,None,None,0,None,None,None
1018183808745689089,Sat Jul 14 17:21:51 +0000 2018,en,BethMart07,Mon Sep 21 16:28:15 +0000 2015,3639508532,648,670,None,None,0,None,None,None
1018184291413643265,Sat Jul 14 17:23:46 +0000 2018,en,AuthorGaleLaure,Wed Jul 21 18:47:39 +0000 2010,169177471,1642,1213,None,None,0,None,None,None
1018185319517212677,Sat Jul 14 17:27:51 +0000 2018,en,JessieSlytherin,Thu Sep 14 18:46:25 +0000 2017,908401567858151424,1006,346,None,None,0,None,None,None
1018185556285632512,Sat Jul 14 17:28:48 +0000 2018,en,Indie_launchpad,Sun Apr 10 16:58:23 +0000 2016,719207914150486016,9600,6923,None,None,1,1018040674707439626,vbence86,2188261110
1018185968006959104,Sat Jul 14 17:30:26 +0000 2018,en,maddoxcruise,Sat Sep 20 04:21:30 +0000 2014,2820995262,814,1602,None,None,0,None,None,None
1018186860307206144,Sat Jul 14 17:33:59 +0000 2018,en,geno196047,Mon Nov 09 07:01:58 +0000 2009,88612062,73,162,None,None,1,1017946939965542400,LOGEEKZ,2372565409
1018187813047734274,Sat Jul 14 17:37:46 +0000 2018,en,solomonking,Sun Jan 04 18:27:14 +0000 2009,18607674,6506,2406,None,None,0,None,None,None
1018188291231936512,Sat Jul 14 17:39:40 +0000 2018,en,J_MLindeMusic,Tue Feb 20 14:26:14 +0000 2018,965955759505924096,22,89,None,None,0,None,None,None
1018188787015397377,Sat Jul 14 17:41:38 +0000 2018,und,MiyakoNexas,Thu Dec 03 21:49:09 +0000 2009,94421667,42,62,None,None,1,1018175465650040832,SaikoRevolution,1429991881
1018188860445069312,Sat Jul 14 17:41:56 +0000 2018,pt,niony_rodrigues,Tue Jul 28 13:52:28 +0000 2009,60908541,132,150,None,None,0,None,None,None
1018189207754469382,Sat Jul 14 17:43:18 +0000 2018,en,DirtyCandyslave,Mon Aug 14 09:06:01 +0000 2017,897021479929479168,3,54,None,None,0,None,None,None
1018189398532395008,Sat Jul 14 17:44:04 +0000 2018,en,deraraisis,Thu Jun 13 17:37:02 +0000 2013,1514012774,72,119,None,None,0,None,None,None
1018189520758542337,Sat Jul 14 17:44:33 +0000 2018,es,lucas_portugal,Wed Jun 03 23:39:37 +0000 2009,44490503,810,333,None,None,0,None,None,None
1018189573954899968,Sat Jul 14 17:44:46 +0000 2018,en,GDAutoArt,Fri Dec 29 01:29:07 +0000 2017,946553633713348608,2224,1945,None,None,1,1018189398532395008,deraraisis,1514012774
1018189596176322562,Sat Jul 14 17:44:51 +0000 2018,en,DragonGames2189,Tue May 18 20:03:04 +0000 2010,145363830,210,157,None,None,0,None,None,None
1018190356758876161,Sat Jul 14 17:47:52 +0000 2018,pt,geekone_,Wed Jun 01 16:23:18 +0000 2016,738043254986440704,105,360,None,None,0,None,None,None
1018190449700372480,Sat Jul 14 17:48:14 +0000 2018,en,bryankemp,Wed Jul 30 03:18:30 +0000 2008,15655817,1060,2189,None,None,0,None,None,None
1018190713350250496,Sat Jul 14 17:49:17 +0000 2018,en,Midsummer1942,Wed Sep 04 17:02:30 +0000 2013,1729297056,64303,35371,None,None,0,None,None,None
1018190950475149313,Sat Jul 14 17:50:14 +0000 2018,en,twilekprince,Sat Sep 26 23:07:10 +0000 2015,3786688697,304,621,None,None,1,1018190713350250496,Midsummer1942,1729297056
1018191381217660931,Sat Jul 14 17:51:57 +0000 2018,es,papa_geek_,Mon Mar 02 15:09:51 +0000 2015,3056547504,277,674,None,None,0,None,None,None
1018191640895344640,Sat Jul 14 17:52:58 +0000 2018,en,AdeptLibrarium,Mon Mar 27 13:57:39 +0000 2017,846360569154359297,944,99,None,None,1,1018189596176322562,DragonGames2189,145363830
1018191659857833984,Sat Jul 14 17:53:03 +0000 2018,pt,kellinha87,Fri Feb 15 17:31:02 +0000 2013,1183260582,30,97,None,None,0,None,None,None
1018192241184071680,Sat Jul 14 17:55:22 +0000 2018,en,datsungLide,Sun Oct 04 23:31:54 +0000 2009,79859440,642,2062,None,None,1,1018180474399703040,StacyEWalker1,3032087936
1018193247548690432,Sat Jul 14 17:59:21 +0000 2018,en,JasonReyes517,Sun Jul 22 21:38:53 +0000 2012,711309680,495,1600,None,None,0,None,None,None
1018193274115272704,Sat Jul 14 17:59:28 +0000 2018,en,1stoptshirtshop,Sun Aug 06 03:11:24 +0000 2017,894033133401714688,4,0,None,None,0,None,None,None
1018193470144569345,Sat Jul 14 18:00:15 +0000 2018,it,empitalia,Fri Jul 24 20:43:59 +0000 2009,59883385,5469,130,None,None,0,None,None,None
1018193540185231360,Sat Jul 14 18:00:31 +0000 2018,en,MGLSFBlog,Mon Jul 09 20:38:25 +0000 2012,631481124,59,107,None,None,0,None,None,None
1018195197971386369,Sat Jul 14 18:07:07 +0000 2018,en,PunkerdoodleX1,Wed Nov 16 02:52:37 +0000 2011,413627003,132,93,None,None,0,None,None,None
1018195248151855105,Sat Jul 14 18:07:18 +0000 2018,en,Tay_V89,Thu Oct 20 21:23:27 +0000 2016,789215477423759365,48,171,None,None,0,None,None,None
1018195588112896000,Sat Jul 14 18:08:40 +0000 2018,en,DargoG,Tue Feb 28 17:41:36 +0000 2012,507679060,145,338,None,None,0,None,None,None
1018196158529884161,Sat Jul 14 18:10:56 +0000 2018,en,Syriniti89,Fri Oct 07 18:53:36 +0000 2016,784466725152579584,55,125,None,None,1,1018190713350250496,Midsummer1942,1729297056
1018196806654681088,Sat Jul 14 18:13:30 +0000 2018,pt,mirage42citt,Fri Mar 17 16:20:57 +0000 2017,842772754852204549,40,84,None,None,0,None,None,None
1018198094901493761,Sat Jul 14 18:18:37 +0000 2018,en,ATWmovies,Sun Sep 24 11:22:09 +0000 2017,911913642102218752,7142,5239,None,None,1,1017792796399456257,RavenMTheory,440498238
1018198169258209281,Sat Jul 14 18:18:55 +0000 2018,en,Mgellis15,Wed Sep 27 17:01:15 +0000 2017,913086144396582912,144,65,None,None,0,None,None,None
1018198420715114497,Sat Jul 14 18:19:55 +0000 2018,en,tamwilliford,Thu May 21 22:32:15 +0000 2009,41692797,643,496,None,None,0,None,None,None
1018198467943026690,Sat Jul 14 18:20:06 +0000 2018,en,CowboySciFiBot,Sat Jul 11 01:53:43 +0000 2015,3370169638,14810,664,None,None,1,1018198169258209281,Mgellis15,913086144396582912
1018198634985209856,Sat Jul 14 18:20:46 +0000 2018,en,ichakrab,Wed Apr 01 18:01:56 +0000 2009,28156224,101,152,None,None,0,None,None,None
1018198889826955264,Sat Jul 14 18:21:47 +0000 2018,en,pdeblassieiii,Mon Aug 29 12:22:49 +0000 2011,364224436,83468,86698,None,None,1,1018198169258209281,Mgellis15,913086144396582912
1018200356650708992,Sat Jul 14 18:27:36 +0000 2018,en,nerdydarkchoc,Sat Feb 25 17:51:56 +0000 2017,835547894354685952,39,61,None,None,0,None,None,None
1018200369921323008,Sat Jul 14 18:27:40 +0000 2018,en,asleepyfrog,Mon Apr 11 17:18:32 +0000 2011,280601912,1019,905,None,None,1,1018048126068723712,nroslm,2321106451
1018200580706263040,Sat Jul 14 18:28:30 +0000 2018,en,akila_auset,Sun Mar 11 08:05:52 +0000 2018,972745405535604736,61,119,None,None,0,None,None,None
1018200758498385920,Sat Jul 14 18:29:12 +0000 2018,en,Davina_Devine_D,Mon Jan 25 18:05:56 +0000 2016,4813391671,88,109,None,None,0,None,None,None
1018201060450750464,Sat Jul 14 18:30:24 +0000 2018,pt,nerdssemgrana,Tue Dec 02 01:42:20 +0000 2014,2901687550,429,287,None,None,0,None,None,None
1018201523866791936,Sat Jul 14 18:32:15 +0000 2018,en,SnalezMarvel,Sat Jan 13 02:41:24 +0000 2018,952007643090038784,74,684,None,None,0,None,None,None
1018201930005348353,Sat Jul 14 18:33:52 +0000 2018,en,NerdShredz,Fri Sep 08 08:28:39 +0000 2017,906071772247851008,1116,1695,None,None,0,None,None,None
1018204552800059392,Sat Jul 14 18:44:17 +0000 2018,en,MamaAnne93,Fri Jun 29 23:02:04 +0000 2018,1012833609172914176,66,51,None,None,0,None,None,None
1018204747256430594,Sat Jul 14 18:45:03 +0000 2018,en,RTfaggot,Thu May 04 09:49:13 +0000 2017,860068790146662401,15734,4029,None,None,1,1018204552800059392,MamaAnne93,1012833609172914176
1018204789455196160,Sat Jul 14 18:45:13 +0000 2018,en,MeeplesDen,Sun Mar 04 06:36:15 +0000 2018,970186140484476928,41,141,None,None,1,1017922877419544576,DungeonousDorks,981410299709444096
1018204973530861568,Sat Jul 14 18:45:57 +0000 2018,en,RTP1G,Mon Apr 27 08:48:07 +0000 2015,3211960672,25092,8472,None,None,1,1018204552800059392,MamaAnne93,1012833609172914176
1018205134348664832,Sat Jul 14 18:46:36 +0000 2018,en,YulREspinosa,Sun Oct 12 14:39:38 +0000 2008,16708127,994,5001,None,None,1,1018169939595878401,ComicStyleGeek,781233644501209093
1018206216135348224,Sat Jul 14 18:50:53 +0000 2018,en,orbitdesignlab,Sun Nov 19 16:49:34 +0000 2017,932289761196290049,100,173,None,None,0,None,None,None
1018206747448758272,Sat Jul 14 18:53:00 +0000 2018,en,billfett,Fri Aug 01 01:52:36 +0000 2008,15683928,77,318,None,None,1,1018206216135348224,orbitdesignlab,932289761196290049
1018206754826539008,Sat Jul 14 18:53:02 +0000 2018,en,flavikon,Sun Feb 17 03:43:39 +0000 2008,13573252,2131,2011,None,None,0,None,None,None
1018206810770165760,Sat Jul 14 18:53:15 +0000 2018,en,littleblacksub,Sat Jul 21 17:04:43 +0000 2012,709273580,11376,359,None,None,0,None,None,None
1018206818957516801,Sat Jul 14 18:53:17 +0000 2018,en,kacytiller,Fri Jun 05 23:41:02 +0000 2009,45031186,1789,1482,None,None,0,None,None,None
1018207017981349893,Sat Jul 14 18:54:05 +0000 2018,en,AndrewHujber,Sat Jul 13 15:25:46 +0000 2013,1591242896,4,3,None,None,1,1018177575112400896,vbence86,2188261110
1018207089888514048,Sat Jul 14 18:54:22 +0000 2018,en,chromotoid,Mon Apr 23 19:01:31 +0000 2018,988493086568402944,194,21,None,None,1,1018177575112400896,vbence86,2188261110
1018207090979037184,Sat Jul 14 18:54:22 +0000 2018,pt,Hermenio_Githal,Wed May 25 13:43:32 +0000 2016,735466331882029057,86,143,None,None,1,1017727361842892801,ouvikings,724040463204888577
1018207244243161088,Sat Jul 14 18:54:59 +0000 2018,en,kacytiller,Fri Jun 05 23:41:02 +0000 2009,45031186,1789,1482,None,None,0,None,None,None
1018209341156085760,Sat Jul 14 19:03:19 +0000 2018,en,mariecasey216,Sat Mar 01 16:45:42 +0000 2014,2373473717,135,342,None,None,0,None,None,None
1018209831482724353,Sat Jul 14 19:05:15 +0000 2018,en,OfficialDan,Tue May 11 19:18:14 +0000 2010,142785535,2443,4404,None,None,0,None,None,None
1018210257393332225,Sat Jul 14 19:06:57 +0000 2018,en,RealGameMedia,Tue Feb 02 00:44:35 +0000 2016,4870867247,12415,728,None,None,0,None,None,None
1018210335935946752,Sat Jul 14 19:07:16 +0000 2018,en,StartupsBot,Tue Nov 21 19:10:36 +0000 2017,933050026774839296,1809,0,None,None,1,1018208672093220865,smalldickface,974557600023945218
1018211162826199046,Sat Jul 14 19:10:33 +0000 2018,en,synthxplayer,Sun Oct 03 08:59:22 +0000 2010,198081093,235,897,None,None,0,None,None,None
1018211574924959744,Sat Jul 14 19:12:11 +0000 2018,en,HonourQuest,Mon Jan 06 01:22:03 +0000 2014,2278325281,38,295,None,None,0,None,None,None
1018211684136169472,Sat Jul 14 19:12:37 +0000 2018,en,emulatoronline,Tue Aug 01 19:02:54 +0000 2017,892460647954472961,121,422,None,None,1,1017956475837337601,RETROTOYING,796166244244262912
1018211706101616641,Sat Jul 14 19:12:42 +0000 2018,en,mikeyonmute,Mon Oct 09 15:04:21 +0000 2017,917405375950766081,7,65,None,None,0,None,None,None
1018212096784371712,Sat Jul 14 19:14:15 +0000 2018,en,AfroNerdTV,Tue Mar 22 19:34:03 +0000 2016,712361716198346752,129,218,None,None,0,None,None,None
1018212161749962752,Sat Jul 14 19:14:31 +0000 2018,en,MercifulMisery,Tue Oct 18 22:09:20 +0000 2016,788502248359923712,408,268,None,None,0,None,None,None
1018212204288593922,Sat Jul 14 19:14:41 +0000 2018,en,Readwhenstoned,Mon Apr 02 04:23:08 +0000 2012,543102521,168,432,None,None,0,None,None,None
1018212210953326593,Sat Jul 14 19:14:43 +0000 2018,en,SlyCain,Sat Sep 11 08:44:48 +0000 2010,189452374,586,699,None,None,1,1018212096784371712,AfroNerdTV,712361716198346752
1018208588819582976,Sat Jul 14 19:00:19 +0000 2018,en,MGLSFBlog,Mon Jul 09 20:38:25 +0000 2012,631481124,59,107,None,None,0,None,None,None
1018208699809239040,Sat Jul 14 19:00:46 +0000 2018,en,jvknowles,Mon Dec 01 01:36:50 +0000 2008,17768125,1044,2600,None,None,0,None,None,None
