tweet_id,text
1018178822087192581,"RT @LuisGyG: Hoy toca switch de teléfono y me estaré mudando al @motorola_mx #motoz3play Les cuento. • • • • • #electronics #glasses #geek…"
1018179236220297216,"We love quotes which make more emotions then you expect  #geek #gamer #happy #follow #wikakom #games #share #nerd… https://t.co/mxgS3O9w9J"
1018179317392650241,"RT @Book4Creative: "Music was my pass my ticket to a world that first acquired color &amp; form through sound" https://t.co/ScS3fQ7UMK  #pharr…"
1018179688093478912,"I made #dungeonsanddragons into an event.  We out here holding the doors open #nerdstyle  Come mess with us… https://t.co/SkkQKO0ha2"
1018180125697830912,"Get at ya boy #pokemon #pokemongo #nerdstyle #Nerd #Blerd #anime #Otaku https://t.co/6svHaWxyMs"
1018180474399703040,"Happy #NationalNudeDay #model #actor #PoseFX #sfx #photography #beach #sunset #HeatWave2018 #music #Video #film… https://t.co/mSGSaqRgF5"
1018181008976437248,"@domlebowski @geenice @WilliamBibbiani With a database directory that shows location of each DVD. #nerd"
1018182590124224513,"RT @thejoyofcolor: Pi sign minimalist art print geek gift mathematical sighhttps://t.co/gQXvuwpVVO#art #Pi #Pisign #mathematics #mini…"
1018183145961619457,""Life is complicated so is blockchain development." #Blockchain #Crypto #script #quotes #Nerd"
1018183808745689089,"My new #nerd watch! I was never actually a big fan of physics but I definitely have an appreciation for the math t… https://t.co/AqvXnLOKJt"
1018184291413643265,"#SaturdayAfternoonGroove Need a good #book #read for that long #summer #Vacations #travel trip?  EVOLUTION OF A SAD… https://t.co/s6Q0byCIw3"
1018185319517212677,"How to proceed? I don’t have internet on my cellphone.. I want take some Pokémon  #GIF #internet #4g… https://t.co/m06dG9xjzy"
1018185556285632512,"RT @vbence86: Check out the brand new updated obstacles in #fivenations. #indiegame #indiedev #indiegames #gamedev #scifi #space #opensourc…"
1018185968006959104,"Watching the newest #transformers movie bcos that's what my inner #nerd needs right now! :) #goodtime"
1018186860307206144,"RT @LOGEEKZ: Geekflix is back with our review of #AntManAndTheWasp the 20th film in the #MarvelCinematicUniverse #MCU can #AntMan  #TheWasp…"
1018187813047734274,"If you ever wanted to feel like a badass hacker like Mr. Robot check out these awesome sites (just type anything)… https://t.co/gODZYY8EOY"
1018188291231936512,"Finished writing a new #song. Since I've acquired some new sounds (again) it's time to integrate them into the… https://t.co/Rs8REySVY5"
1018188787015397377,"RT @SaikoRevolution: #gamer #GermanMediaRt #nerd #zocker #germangamingclan https://t.co/Ih91aQhdem"
1018188860445069312,"Você conhece Wally ? Olha ele !!! #geek #nerd #orbita #filme #cinema #série #dc #warnee #flash https://t.co/T6yuS1QWr7"
1018189207754469382,"bored n horny any 1 want a chat #dating #readhead #busty #bustycum #nerd #cumslut #horny #slut #whore https://t.co/8tfuvxjqZ7"
1018189398532395008,"After the #cute #slime this time I #illustrated a cute #goblin. He'll definitely stab you in the back with a… https://t.co/1XidZuS89X"
1018189520758542337,"Partida de Notre Dame. #boargame #boardgamegeek #bgg #nerd #geek #tabletopday #tabletopgame #nightgame #cardgame… https://t.co/5AV4N2VBdO"
1018189573954899968,"RT @deraraisis: After the #cute #slime this time I #illustrated a cute #goblin. He'll definitely stab you in the back with a #smile. Be ca…"
1018189596176322562,"Unboxing Clans of Caledonia in 3...2...1...Follow @jageekystuff for more unboxing and geeky stuff. ....… https://t.co/G8fzPVlJtT"
1018190356758876161,"Nova imagem da quarta temporada de Better Call Saul que estreia no dia 6 de agosto na AMC e depois no dia seguinte… https://t.co/o1F6Fn0Jk4"
1018190449700372480,"Roman and I needed a haircut. #Nerd^2 @ Alchemy Salon https://t.co/BPb4vNVWWb"
1018190713350250496,"Last #Warcraft related one for now! #EtsySeller #Etsyshop #Etsy #Colors #Colorful  #Handmade #MidsummerArt… https://t.co/amKOSijl3u"
1018190950475149313,"RT @Midsummer1942: Last #Warcraft related one for now! #EtsySeller #Etsyshop #Etsy #Colors #Colorful  #Handmade #MidsummerArt #Commissions…"
1018191381217660931,"Mientras tanto en @cartoonnetwork ..#geekgirl #gamergirl #geekie #nerd #geeklife #gaming #gamer #geekery… https://t.co/YCZZSCMT5e"
1018191640895344640,"RT @DragonGames2189: Unboxing Clans of Caledonia in 3...2...1...Follow @jageekystuff for more unboxing and geeky stuff. ....#unboxing…"
1018191659857833984,"Quem muito fala nada faz.... Ahuahuahuahua  #Copa2018 #Rússia #BelEng #Bélgica2X0Inglaterra… https://t.co/Nlhyoxpewk"
1018192241184071680,"RT @StacyEWalker1: Happy #NationalNudeDay #model #actor #PoseFX #sfx #photography #beach #sunset #HeatWave2018 #music #Video #film #motiong…"
1018193247548690432,"MY BIG WIN from @Jungle_LA was my final megazord from #uchuusentaikyuuranger ! My 1st visit to #littletokyo in… https://t.co/BaY4JedVSW"
1018193274115272704," CHILD'S PLAY 3  Chucky Squared Vintage Horror Movie Adult T-Shirt 100% Cotton SM-6XL w/ FREE USA shipping NO… https://t.co/zkM1QNoG0V"
1018193470144569345,"Una delle canotte di Deadpool più belle di sempre C'è anche in versione T-shirt https://t.co/gZup2Rj8jDGrazie… https://t.co/pTuzfACzSQ"
1018193540185231360,"#nerd #geek Fancy a quick peek at some geeky products discovered from the 4 corners of the Internet ? check out a n… https://t.co/80S43lYhES"
1018195197971386369,"2 #deadpool 's  one #unicorn #umbrella #joke at the expense of an #olsentwin #broadcaster #nerd #gamer #nerds… https://t.co/6tCxqLDZ83"
